run_id,timestamp,status,rung,stage,item_tower_mode,batch_size,negatives,logq,embed_dim,seed,split_version,candidate_universe,auc_impression,mrr,ndcg5,ndcg10,recall10,recall50,recall100,ndcg50,coverage,gini,cold_recall50_restricted,cold_recall50_fullcorpus,cold_share_topk,ece,brier,train_minutes,peak_vram_mb,machine,git_commit,config_json,notes
smoke_runlog_001,2026-09-07T20:24:21,success,SMOKE,runlog,,,,,,,,full_corpus,,,,,,,,,,,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,,"{""purpose"": ""verify append-only run log schema""}",dummy row written before first real experiment
r0a_002,2026-09-07T20:25:09,success,R0a,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,ad5e8c2aee5b777fdeda251e41e380d85781be76,"{""candidate_universe"": ""full_corpus"", ""mode"": ""naive"", ""top_k"": 100}",naive all-time popularity over train split clicks
r0b_003,2026-09-07T20:30:46,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,ad5e8c2aee5b777fdeda251e41e380d85781be76,"{""candidate_universe"": ""full_corpus"", ""degenerate_empty_window"": true, ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""mode"": ""recency"", ""top_k"": 100, ""window_hours"": 6}","recency-weighted popularity, trailing 6h, train split clicks only; DEGENERATE: empty recency window, fell back to R0a ranking"
r0b_004,2026-09-07T20:31:40,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,ad5e8c2aee5b777fdeda251e41e380d85781be76,"{""candidate_universe"": ""full_corpus"", ""degenerate_empty_window"": true, ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""mode"": ""recency"", ""top_k"": 100, ""window_hours"": 12}","recency-weighted popularity, trailing 12h, train split clicks only; DEGENERATE: empty recency window, fell back to R0a ranking"
r0b_005,2026-09-07T20:32:32,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,ad5e8c2aee5b777fdeda251e41e380d85781be76,"{""candidate_universe"": ""full_corpus"", ""degenerate_empty_window"": true, ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""mode"": ""recency"", ""top_k"": 100, ""window_hours"": 24}","recency-weighted popularity, trailing 24h, train split clicks only; DEGENERATE: empty recency window, fell back to R0a ranking"
r0b_006,2026-09-07T20:34:31,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,9.877819107319879e-05,0.00022427552230313316,0.003265129534080701,0.007996933451826222,0.0008404508951442085,0.00585548300070511,0.9981170267128366,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,ad5e8c2aee5b777fdeda251e41e380d85781be76,"{""candidate_universe"": ""full_corpus"", ""mode"": ""recency"", ""top_k"": 100, ""window_hours"": 48}","recency-weighted popularity, trailing 48h, train split clicks only"
r0b_007,2026-09-07T21:49:57,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,f375a804b3d0bdd1fa9b0eeabf22a5a628c630c9,"{""candidate_universe"": ""full_corpus"", ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""history_source"": ""train"", ""history_splits"": [""train""], ""mode"": ""recency"", ""n_queries"": 73152, ""top_k"": 100, ""window_hours"": 6}","recency-weighted popularity, trailing 6h, train split clicks only; 73152 empty recency-window queries used the train global popularity fallback"
r0b_008,2026-09-07T21:50:38,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,f375a804b3d0bdd1fa9b0eeabf22a5a628c630c9,"{""candidate_universe"": ""full_corpus"", ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""history_source"": ""train"", ""history_splits"": [""train""], ""mode"": ""recency"", ""n_queries"": 73152, ""top_k"": 100, ""window_hours"": 12}","recency-weighted popularity, trailing 12h, train split clicks only; 73152 empty recency-window queries used the train global popularity fallback"
r0b_009,2026-09-07T21:51:19,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,0.0,0.0,0.0024258791493453565,0.0029372523528527466,0.0005505650405913912,0.001532848953064165,0.9984671510469358,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,f375a804b3d0bdd1fa9b0eeabf22a5a628c630c9,"{""candidate_universe"": ""full_corpus"", ""empty_window_fraction"": 1.0, ""empty_window_queries"": 73152, ""history_source"": ""train"", ""history_splits"": [""train""], ""mode"": ""recency"", ""n_queries"": 73152, ""top_k"": 100, ""window_hours"": 24}","recency-weighted popularity, trailing 24h, train split clicks only; 73152 empty recency-window queries used the train global popularity fallback"
r0b_010,2026-09-07T21:53:04,success,R0b,retrieval,none,,none,False,,0,split_v1,full_corpus,,,,9.877819107319879e-05,0.00022427552230313316,0.003265129534080701,0.007996933451826222,0.0008404508951442085,0.00585548300070511,0.9981170267128366,,,,,,,,buland-HP-Pavilion-Gaming-Laptop-15-dk1xxx,f375a804b3d0bdd1fa9b0eeabf22a5a628c630c9,"{""candidate_universe"": ""full_corpus"", ""empty_window_fraction"": 0.0, ""empty_window_queries"": 0, ""history_source"": ""train"", ""history_splits"": [""train""], ""mode"": ""recency"", ""n_queries"": 73152, ""top_k"": 100, ""window_hours"": 48}","recency-weighted popularity, trailing 48h, train split clicks only"
